Time,john,thomas,vaidy
00:11:09, 64, 64, 78
00:11:10, 60, 57, 81
00:11:11, 61, 53, 84
00:11:12, 54, 43, 66
00:11:13, 47, 44, 61
00:11:14, 56, 43, 56
00:11:15, 50, 44, 56
00:11:16, 43, 60, 57
00:11:17, 50, 56, 50
00:11:18, 41, 50, 47
00:11:19, 61, 61, 61
00:11:20, 51, 53, 66
00:11:21, 41, 64, 67
00:11:22, 48, 53, 74
00:11:23, 35, 48, 61
00:11:24, 30, 44, 66
00:11:25, 26, 27, 74
00:11:26, 14, 50, 80
00:11:27, 16, 50, 75
00:11:28, 17, 53, 56
00:11:29, 24, 53, 74
00:11:30, 29, 44, 70
00:11:31, 44, 54, 66
00:11:32, 57, 53, 77
00:11:33, 66, 57, 44
00:11:34, 70, 41, 47
00:11:35, 56, 27, 50
00:11:36, 50, 38, 60
00:11:37, 51, 40, 81
00:11:38, 51, 57, 66
00:11:39, 48, 56, 75
00:11:40, 66, 53, 64
00:11:41, 63, 37, 41
00:11:42, 69, 34, 57
00:11:43, 66, 44, 35
00:11:44, 50, 43, 38
00:11:45, 50, 57, 56
00:11:46, 43, 66, 50
00:11:47, 61, 61, 69
00:11:48, 67, 56, 63
00:11:49, 74, 63, 64
00:11:50, 80, 63, 53
00:11:51, 64, 69, 44
00:11:52, 61, 69, 51
00:11:53, 63, 63, 44
00:11:54, 66, 60, 43
00:11:55, 75, 53, 38
00:11:56, 80, 54, 40
00:11:57, 63, 63, 38
00:11:58, 53, 60, 41
00:11:59, 51, 51, 43
00:12:00, 44, 44, 38
00:12:01, 44, 43, 43
00:12:02, 51, 38, 54
00:12:03, 47, 41, 50
00:12:04, 51, 38, 43
00:12:05, 66, 37, 37
00:12:06, 50, 43, 29
00:12:07, 50, 54, 41
00:12:08, 56, 56, 69
00:12:09, 38, 66, 63
00:12:10, 38, 74, 66
00:12:11, 61, 66, 56
00:12:12, 48, 78, 26
00:12:13, 66, 77, 48
00:12:14, 84, 70, 61
00:12:15, 54, 70, 78
00:12:16, 50, 60, 83
00:12:17, 37, 60, 80
00:12:18, 34, 61, 69
00:12:19, 40, 57, 50
00:12:20, 44, 66, 57
00:12:21, 48, 66, 54
00:12:22, 37, 67, 51
